Series,Box,Folder,Date,Title
Series I: Library Artist Files (Gallery Files),1 ,1 , ,Administrative / General Information – Clayton Kirking 
Series I: Library Artist Files (Gallery Files),1 ,2 , ,Newsletters 
Series I: Library Artist Files (Gallery Files),1 ,3 , ,Publicity 
Series I: Library Artist Files (Gallery Files),1 ,4 ,1987 ,News Releases 
Series I: Library Artist Files (Gallery Files),1 ,5 ,1988 ,News Releases 
Series I: Library Artist Files (Gallery Files),1 ,6 ,1989 ,News Releases 
Series I: Library Artist Files (Gallery Files),1 ,7 ,1990 ,News Releases 
Series I: Library Artist Files (Gallery Files),1 ,8 ,1991 ,News Releases 
Series I: Library Artist Files (Gallery Files),1 ,9 , ,Calendars 
Series I: Library Artist Files (Gallery Files),1 ,10 ,1981-1985 ,Las Posadas 
Series I: Library Artist Files (Gallery Files),1 ,11 ,1982-1986 ,"MARS Group Shows ‘82, ‘83, ‘85, ‘86 "
Series I: Library Artist Files (Gallery Files),1 ,12 ,1982-2002 ,La Phoeniquera 
Series I: Library Artist Files (Gallery Files),1 ,13 ,1983 March ,Women of MARS 
Series I: Library Artist Files (Gallery Files),1 ,14 ,1983 April ,Cuatro Pueblos 
Series I: Library Artist Files (Gallery Files),1 ,15 ,"1983, 1985 ",MARS at Fagen-Peterson Gallery 
Series I: Library Artist Files (Gallery Files),1 ,16 ,1985-1993 ,MARS and Dinnerware 
Series I: Library Artist Files (Gallery Files),2 ,1 ,1986-1993 ,Performance Art 
Series I: Library Artist Files (Gallery Files),2 ,2 ,1988 March 12 ,Rasquachismo: The Style and Meaning of Chicano Art Symposium 
Series I: Library Artist Files (Gallery Files),2 ,3 ,1988 June 17 ,Satellites Land at MARS 
Series I: Library Artist Files (Gallery Files),2 ,4 ,1988 December ,“Thirty Seconds over Bethlehem” 
Series I: Library Artist Files (Gallery Files),2 ,5 ,1989-2000 ,Art Detour 
Series I: Library Artist Files (Gallery Files),2 ,6 ,1989-2001 ,Blu-Lite Special 
Series I: Library Artist Files (Gallery Files),2 ,7 ,1990 December ,Cowpoke Soiree 
Series I: Library Artist Files (Gallery Files),2 ,8 ,1992 June ,Men/Man/Boy & End of Paradise Adam’s Apple Annie Lopez & Marilyn Szabo 
Series I: Library Artist Files (Gallery Files),2 ,9 ,"1993, 1996 ",Chicanolandia 
Series I: Library Artist Files (Gallery Files),2 ,10 ,1996 ,La Bandera Vieja 
Series I: Library Artist Files (Gallery Files),2 ,11 , ,Group & Pair shows 
Series I: Library Artist Files (Gallery Files),2 ,12 , ,Single shows 
Series I: Library Artist Files (Gallery Files),2 ,13 , ,Traveling shows & exchanges / Visiting artists 
Series I: Library Artist Files (Gallery Files),2 ,14 , ,Mexican-American Print Series 
